"subject","contrast","sf","target_side","response","unique_id"
"S3",0.0057035489980074,0.5,"left","right","5d124f7b-a051-4690-9b87-82c2252a01bd"
"S3",0.367879441171442,4.47213595499958,"left","left","bd3b35c1-db29-4993-9e2b-21efeb3a784b"
"S3",0.013123728736941,1.49534878122122,"right","left","be550e80-af68-4b4d-97be-6a2b7a553752"
"S3",0.0057035489980074,1.49534878122122,"left","left","9cc29bbb-8d1b-4d27-87fc-5cf0f18e43d1"
"S3",0.013123728736941,0.5,"left","left","ec3211d4-4a97-4ee7-8913-6e5c7cf6b65a"
"S3",0.0057035489980074,13.3748060995284,"left","right","1d4f6d1f-9544-4dbe-9915-8b175df9ede6"
"S3",0.159879746079694,0.5,"left","left","73e831c9-6274-4385-af32-f495516eb174"
"S3",0.00247875217666636,13.3748060995284,"right","left","e12e36f6-eb1f-40cd-a711-c1c27f4cad00"
"S3",0.00247875217666636,0.5,"left","right","1cd0f1f9-e52a-4665-93c2-5ca219918d6b"
"S3",0.159879746079694,1.49534878122122,"left","left","943b19a5-dd02-4e92-8049-fcb5b55fc142"
"S3",0.013123728736941,13.3748060995284,"left","right","adb5d713-b4c8-4dde-9d44-2bffe951b5ed"
"S3",0.159879746079694,1.49534878122122,"right","right","9797bd81-408a-48eb-9f54-7e97613e0db7"
"S3",0.0694834512228015,13.3748060995284,"left","left","efd6b008-e337-45f9-a384-106fa0a686a9"
"S3",0.00247875217666636,0.5,"right","right","4f59ce7a-a0ee-4078-ae99-3912d52295ed"
"S3",0.00247875217666636,1.49534878122122,"right","left","e952c7ff-0ee4-4de0-8775-4b851357762e"
"S3",0.0301973834223185,0.5,"right","left","2638fd91-0d5f-4277-996a-9944a9444c24"
"S3",0.0694834512228015,1.49534878122122,"left","left","e53551ce-ebb2-4e04-8140-bd3b87fa8100"
"S3",0.00247875217666636,1.49534878122122,"left","left","4119621e-3fa6-4833-aced-309483e6111b"
"S3",0.00247875217666636,1.49534878122122,"right","left","0c720bfa-f60a-40c1-a584-eca0051c3770"
"S3",0.159879746079694,13.3748060995284,"left","left","0c9ce3a5-b920-4c1c-801f-c1d9ce8826a5"
"S3",0.0057035489980074,1.49534878122122,"left","left","19c55824-3acc-4081-90e3-4533389aeb35"
"S3",0.159879746079694,0.5,"right","right","80a90dd8-96d1-4bdd-a5a5-6c466a73dcc0"
"S3",0.0057035489980074,4.47213595499958,"right","right","6115ee02-788e-4783-b1ed-8c3ff3c58c86"
"S3",0.013123728736941,4.47213595499958,"right","right","bc83edac-e910-43b9-9172-cdba2195757d"
"S3",0.0694834512228015,13.3748060995284,"right","right","c4e8f05d-a5a2-4e34-adc8-638f061740a8"
"S3",0.00247875217666636,13.3748060995284,"left","left","68a80d0c-a3e9-4d4c-86e8-424a70889294"
"S3",0.0057035489980074,13.3748060995284,"right","right","0ffd70cf-911d-42c8-9871-aef9c77b9c0d"
"S3",0.0301973834223185,40,"left","right","1bb5dff0-bcaa-400c-97ef-9b95ef5f88f6"
"S3",0.0057035489980074,0.5,"right","left","d0fe4cef-2eb2-4b09-81dc-baf3652205b4"
"S3",0.00247875217666636,1.49534878122122,"right","right","f1d50e22-644c-4668-84e3-5fac5b5bd35c"
"S3",0.0057035489980074,1.49534878122122,"right","right","3e6baf51-fd4d-4414-b8ff-b178d4be8df7"
"S3",0.367879441171442,40,"left","left","5cf4835c-9e07-41bb-9c30-691a6b958db9"
"S3",0.0694834512228015,0.5,"left","left","961d64c7-63c0-483e-bc6c-423f92eb9e91"
"S3",0.013123728736941,13.3748060995284,"right","left","d9b4e27d-df45-4c2e-b4e0-dc250d82138b"
"S3",0.013123728736941,4.47213595499958,"right","left","01b432d2-2148-4e53-a2a6-63229c9b58f0"
"S3",0.159879746079694,4.47213595499958,"left","left","e0089c9f-daf5-4c12-a554-13c5892b370c"
"S3",0.00247875217666636,1.49534878122122,"left","left","771a8b74-50eb-43f2-b47c-3e984678a5bf"
"S3",0.013123728736941,0.5,"right","right","803eba1b-c327-466e-adf6-af7519e1a96a"
"S3",0.013123728736941,40,"left","right","cb9df496-c11b-45c3-ac0d-9ecac242444c"
"S3",0.0694834512228015,4.47213595499958,"left","left","662230dc-7072-43e7-a61e-27fcde024aad"
"S3",0.0057035489980074,4.47213595499958,"left","left","8b61e9da-e43b-49c9-8315-a76b4b085c5c"
"S3",0.159879746079694,13.3748060995284,"left","left","2b98340c-80a8-42c5-823a-255b87f02fd1"
"S3",0.0057035489980074,40,"right","left","9ea88e24-425c-46c7-ab48-d5137f3f6ddc"
"S3",0.159879746079694,0.5,"left","left","43ba419b-36bc-456b-8c66-2cefc05ba87f"
"S3",0.367879441171442,1.49534878122122,"right","right","1e559bac-27ef-45a1-85dd-ee80018f5df0"
"S3",0.0057035489980074,40,"left","left","346e98f9-c583-4e2c-b22e-5d50d5e5d228"
"S3",0.0057035489980074,4.47213595499958,"left","left","5b278998-8450-442f-9640-ee9005cbc730"
"S3",0.0301973834223185,0.5,"left","left","98ab0c37-c303-4473-b81c-bc4ac6733345"
"S3",0.0057035489980074,13.3748060995284,"right","left","46c6fe33-4a0e-4952-91b6-cf2ae1d55dd5"
